Sender key B ON

2018-12-31 18:16:14 - [INFO] rpi-rf_receive: Listening for codes on GPIO 27
2018-12-31 18:16:21 - [INFO] rpi-rf_receive: 140302 [pulselength 135, protocol 3]
2018-12-31 18:16:21 - [INFO] rpi-rf_receive: 65838 [pulselength 135, protocol 3]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 8865 [pulselength 308, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 17681 [pulselength 309, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 141604 [pulselength 134, protocol 3]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 557122 [pulselength 314, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 70786 [pulselength 309, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 70784 [pulselength 309, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 17730 [pulselength 309, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 16812610 [pulselength 311, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 136450 [pulselength 308, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 1124704 [pulselength 135, protocol 3]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 35329 [pulselength 309, protocol 1]
2018-12-31 18:16:22 - [INFO] rpi-rf_receive: 56668 [pulselength 135, protocol 3]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 70786 [pulselength 311, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 141568 [pulselength 309, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 69649 [pulselength 309, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 34833 [pulselength 135, protocol 3]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 1066306 [pulselength 310, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 70177 [pulselength 309, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 35394 [pulselength 309, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 35105 [pulselength 309, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 33937 [pulselength 309, protocol 1]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 8878 [pulselength 134, protocol 3]
2018-12-31 18:16:23 - [INFO] rpi-rf_receive: 280834 [pulselength 314, protocol 1]


Sender key B OFF

2018-12-31 18:17:33 - [INFO] rpi-rf_receive: Listening for codes on GPIO 27
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 308, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 17749 [pulselength 309, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 308, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4189867 [pulselength 135, protocol 3]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 8875 [pulselength 134, protocol 3]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 1130563 [pulselength 134, protocol 3]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:39 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 262187 [pulselength 135, protocol 3]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 4436 [pulselength 314, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 28331 [pulselength 134, protocol 3]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 8868 [pulselength 134, protocol 3]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 33444 [pulselength 308, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 4436 [pulselength 308, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 4436 [pulselength 310, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 17056 [pulselength 309, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 141826 [pulselength 309, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:40 - [INFO] rpi-rf_receive: 4436 [pulselength 309, protocol 1]
2018-12-31 18:17:41 - [INFO] rpi-rf_receive: 4436 [pulselength 308, protocol 1]
2018-12-31 18:17:41 - [INFO] rpi-rf_receive: 4436 [pulselength 308, protocol 1]
